PARTIDO,NBI_NO,NBI_SI,TOTAL
Almirante Brown,140495,16423,156918
Avellaneda,106580,6562,113142
Berazategui,83441,9723,93164
Esteban Echeverría,76693,9259,85952
Ezeiza,38213,6274,44487
Florencio Varela,93878,19257,113135
General San Martín,124266,8936,133202
Hurlingham,51347,3775,55122
Ituzaingó,48920,2524,51444
José C. Paz,63112,8610,71722
La Matanza,427026,57883,484909
Lanús,142177,7417,149594
Lomas de Zamora,172010,16834,188844
Malvinas Argentinas,78501,10837,89338
Merlo,130747,16969,147716
Moreno,107991,16025,124016
Morón,103136,3766,106902
Quilmes,160800,16310,177110
San Fernando,45145,4239,49384
San Isidro,93658,3555,97213
San Miguel,74035,6592,80627
Tigre,96576,11982,108558
Tres de Febrero,107711,4877,112588
Vicente López,96872,2414,99286
