PARTIDO,LINK,NBI_NO,NBI_SI,HOGARES
Almirante Brown,060280101,300,60,360
Almirante Brown,060280102,230,60,290
Almirante Brown,060280103,287,39,326
Almirante Brown,060280104,285,10,295
Almirante Brown,060280105,199,2,201
Almirante Brown,060280106,246,20,266
Almirante Brown,060280107,290,36,326
Almirante Brown,060280108,370,58,428
Almirante Brown,060280109,436,49,485
Almirante Brown,060280110,221,8,229
Almirante Brown,060280111,371,24,395
Almirante Brown,060280112,282,19,301
Almirante Brown,060280113,259,18,277
Almirante Brown,060280114,262,32,294
Almirante Brown,060280115,405,21,426
Almirante Brown,060280201,355,101,456
Almirante Brown,060280202,305,64,369
Almirante Brown,060280203,367,70,437
Almirante Brown,060280204,347,82,429
Almirante Brown,060280205,211,81,292
Almirante Brown,060280206,294,43,337
Almirante Brown,060280207,269,41,310
Almirante Brown,060280208,265,59,324
Almirante Brown,060280301,422,51,473
Almirante Brown,060280302,359,71,430
Almirante Brown,060280303,359,137,496
Almirante Brown,060280304,145,71,216
Almirante Brown,060280305,242,164,406
Almirante Brown,060280306,123,71,194
Almirante Brown,060280307,209,137,346
Almirante Brown,060280308,442,83,525
Almirante Brown,060280309,241,36,277
Almirante Brown,060280310,278,40,318
Almirante Brown,060280311,219,32,251
Almirante Brown,060280312,224,42,266
Almirante Brown,060280401,374,85,459
Almirante Brown,060280402,283,84,367
Almirante Brown,060280403,302,88,390
Almirante Brown,060280404,263,68,331
Almirante Brown,060280405,248,91,339
Almirante Brown,060280406,285,94,379
Almirante Brown,060280407,320,102,422
Almirante Brown,060280408,320,81,401
Almirante Brown,060280409,342,103,445
Almirante Brown,060280410,321,40,361
Almirante Brown,060280411,320,60,380
Almirante Brown,060280412,431,43,474
Almirante Brown,060280501,19,2,21
Almirante Brown,060280502,23,2,25
Almirante Brown,060280503,11,0,11
Almirante Brown,060280504,274,32,306
Almirante Brown,060280505,18,6,24
Almirante Brown,060280506,176,22,198
Almirante Brown,060280507,88,13,101
Almirante Brown,060280508,60,15,75
Almirante Brown,060280509,50,12,62
Almirante Brown,060280510,53,13,66
Almirante Brown,060280511,278,46,324
Almirante Brown,060280512,33,3,36
Almirante Brown,060280513,320,39,359
Almirante Brown,060280601,361,28,389
Almirante Brown,060280602,626,41,667
Almirante Brown,060280603,380,63,443
Almirante Brown,060280604,999,166,1165
Almirante Brown,060280605,442,94,536
Almirante Brown,060280606,478,53,531
Almirante Brown,060280607,342,58,400
Almirante Brown,060280608,192,34,226
Almirante Brown,060280609,325,9,334
Almirante Brown,060280610,838,163,1001
Almirante Brown,060280611,215,39,254
Almirante Brown,060280612,209,47,256
Almirante Brown,060280613,242,2,244
Almirante Brown,060280614,631,131,762
Almirante Brown,060280615,814,218,1032
Almirante Brown,060280701,477,131,608
Almirante Brown,060280702,443,103,546
Almirante Brown,060280703,504,69,573
Almirante Brown,060280704,380,37,417
Almirante Brown,060280705,355,56,411
Almirante Brown,060280706,431,18,449
Almirante Brown,060280707,573,93,666
Almirante Brown,060280708,273,34,307
Almirante Brown,060280709,326,35,361
Almirante Brown,060280710,325,17,342
Almirante Brown,060280711,385,48,433
Almirante Brown,060280801,66,16,82
Almirante Brown,060280802,63,10,73
Almirante Brown,060280803,18,2,20
Almirante Brown,060280804,51,9,60
Almirante Brown,060280805,287,37,324
Almirante Brown,060280806,257,10,267
Almirante Brown,060280807,239,21,260
Almirante Brown,060280808,301,36,337
Almirante Brown,060280809,27,5,32
Almirante Brown,060280810,459,31,490
Almirante Brown,060280811,446,18,464
